id_linea,id_venta,id_producto,nombre_producto_texto,cantidad,precio_unitario,monto_bruto,descuento,costo_unitario
39,1028,103,Salsa de Ajo Lucho,3,2400,7200,0.0,820
40,1028,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
41,1029,103,Salsa de Ajo Lucho,1,2400,2400,600.0,820
42,1029,101,Salsa Picante Habanero Lucho,1,2200,2200,550.0,760
43,1029,106,Salsa Chipotle Dulce,1,2900,2900,725.0,1190
44,1029,102,Chilero Criollo Lucho,1,2000,2000,500.0,690
45,1030,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
46,1031,102,Chilero Criollo Lucho,1,2100,2100,0.0,690
47,1032,101,Salsa Picante Habanero Lucho,6,2200,13200,0.0,760
48,1033,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
49,1034,103,Salsa de Ajo Lucho,1,2520,2520,378.0,820
50,1035,101,Salsa Picante Habanero Lucho,6,2200,13200,0.0,760
51,1036,103,Salsa de Ajo Lucho,24,2400,57600,0.0,
52,1037,101,SALSA PICANTE HABANERO LUCHO,2,2200,4400,0.0,760
53,1038,103,Salsa de Ajo Lucho,24,2400,57600,0.0,820
54,1038,101,Salsa Picante Habanero Lucho,12,2200,26400,0.0,760
55,1039,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,0.0,760
56,1040,101,Salsa Picante Habanero Lucho,36,2200,79200,9504.0,760
57,1041,108,Aderezo Cilantro-Limon,3,2600,7800,0.0,1010
58,1042,101,salsa picante habanero lucho ,12,2200,26400,3168.0,760
59,1042,109,Salsa Inferno Carolina Reaper,12,4500,54000,6480.0,2100
60,1042,103,Salsa de Ajo Lucho,24,2520,60480,7257.6,820
61,1043,103,Salsa de Ajo Lucho,24,2400,57600,6912.0,820
62,1043,106,Salsa Chipotle Dulce,12,2900,34800,4176.0,1190
63,1044,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
64,1045,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
65,1045,103,Salsa de Ajo Lucho,3,2400,7200,0.0,820
66,1046,103,Salsa de Ajo Lucho,36,2400,86400,0.0,820
67,1046,108,Aderezo Cilantro-Limon,12,2600,31200,0.0,1010
68,1047,101,Salsa Picante Habanero Lucho,12,2090,25080,0.0,760
69,1047,108,Aderezo Cilantro-Limon,12,2600,31200,0.0,1010
70,1047,103,Salsa de Ajo Lucho,24,2400,57600,0.0,820
71,1048,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
72,1048,102,chilero criollo lucho,1,2000,2000,0.0,690
73,1048,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,0.0,760
74,1049,101,Salsa Picante Habanero Lucho,2,2090,4180,0.0,760
75,1050,101,salsa picante habanero lucho ,12,2200,26400,3168.0,760
76,1051,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
77,1052,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
78,1052,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
79,1052,103,salsa de ajo lucho,1,2400,2400,0.0,820
80,1053,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
81,1054,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
82,1055,103,Salsa de Ajo Lucho,3,2400,7200,0.0,820
83,1055,101,salsa picante habanero lucho ,1,2200,2200,0.0,760
84,1056,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
85,1057,102,chilero criollo lucho,1,2000,2000,0.0,690
86,1058,101,Salsa Picante Habanero Lucho,12,2200,26400,0.0,760
87,1058,103,salsa de ajo lucho,6,2400,14400,0.0,820
88,1059,108,Aderezo Cilantro-Limon,2,2600,5200,0.0,1010
89,1060,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
90,1061,102,Chilero Criollo Lucho,12,2000,24000,2880.0,690
91,1061,101,Salsa Picante Habanero Lucho,12,2200,26400,3168.0,760
92,1061,106,Salsa Chipotle Dulce,6,2900,17400,2088.0,1190
93,1062,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
94,1063,101,salsa picante habanero lucho ,1,2200,2200,0.0,760
95,1064,103,Salsa de Ajo Lucho,6,2520,15120,0.0,820
96,1064,102,Chilero Criollo Lucho,12,2100,25200,0.0,690
97,1065,102,Chilero Criollo  Lucho,3,2000,6000,0.0,690
98,1066,105,Salsa BBQ Tamarindo,1,3000,3000,0.0,1280
99,1067,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
100,1068,102,Chilero Criollo Lucho,1,2000,2000,300.0,690
101,1068,101,Salsa Picante Habanero Lucho,1,2200,2200,330.0,760
102,1069,102,Chilero Criollo Lucho,24,2000,48000,5760.0,690
103,1070,101,Salsa Picante Habanero Lucho,36,2200,79200,0.0,760
104,1071,105,Salsa BBQ Tamarindo,1,3000,3000,0.0,1280
105,1071,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
106,1071,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
107,1072,101,Salsa Picante Habanero Lucho,3,2200,6600,0.0,760
108,1073,102,Chilero Criollo  Lucho,12,2000,24000,2880.0,690
109,1073,101,Salsa Picante Habanero Lucho,12,2200,26400,3168.0,760
110,1074,106,Salsa Chipotle Dulce,1,2900,2900,0.0,1190
111,1075,102,Chilero Criollo Lucho,1,2000,2000,0.0,
112,1076,106,Salsa Chipotle Dulce,1,2900,2900,0.0,1190
113,1077,102,chilero criollo lucho,2,2000,4000,600.0,690
114,1077,101,Salsa Picante Habanero Lucho,1,2200,2200,330.0,760
115,1077,103,Salsa de Ajo Lucho,1,2400,2400,360.0,820
116,1078,102,Chilero Criollo  Lucho,12,2100,25200,3024.0,690
117,1079,102,Chilero Criollo Lucho,12,2000,24000,2880.0,690
118,1080,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
119,1081,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
120,1082,104,Salsa Mango-Habanero,1,3200,3200,480.0,1350
121,1083,101,Salsa Picante Habanero Lucho,12,2200,26400,0.0,760
122,1084,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
123,1085,102,Chilero Criollo  Lucho,1,2000,2000,0.0,690
124,1086,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
125,1086,108,Aderezo Cilantro-Limon,1,2600,2600,0.0,1010
126,1087,101,Salsa Picante Habanero Lucho,3,2090,6270,0.0,760
127,1088,110,Salsa Curry Tropical,1,3400,3400,0.0,1520
128,1088,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
129,1089,103,Salsa de Ajo Lucho,2,2400,4800,0.0,820
130,1089,102,chilero criollo lucho,1,2000,2000,0.0,
131,1090,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
132,1091,104,Salsa Mango-Habanero,2,3200,6400,0.0,1350
133,1092,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
134,1093,103,Salsa de Ajo Lucho,1,2280,2280,0.0,820
135,1094,104,Salsa Mango-Habanero,1,3200,3200,0.0,1350
136,1095,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
137,1096,102,Chilero Criollo  Lucho,12,2000,24000,2880.0,690
138,1097,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
139,1097,108,Aderezo Cilantro-Limon,2,2600,5200,0.0,1010
140,1098,102,chilero criollo lucho,1,2000,2000,0.0,690
141,1099,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
142,1099,105,Salsa BBQ Tamarindo,2,3000,6000,0.0,1280
143,1100,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
144,1101,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
145,1101,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
146,1102,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
147,1102,103,Salsa de Ajo Lucho,3,2400,7200,0.0,820
148,1103,102,Chilero Criollo Lucho,6,2000,12000,1440.0,690
149,1103,101,SALSA PICANTE HABANERO LUCHO,12,2090,25080,3009.6,760
150,1104,104,Salsa Mango-Habanero,2,3040,6080,0.0,1350
151,1104,102,Chilero Criollo Lucho,3,2000,6000,0.0,690
152,1105,101,Salsa Picante Habanero Lucho,3,2200,6600,0.0,760
153,1106,102,Chilero Criollo Lucho,12,2000,24000,2880.0,690
154,1107,102,Chilero Criollo  Lucho,6,2000,12000,1440.0,690
155,1108,106,Salsa Chipotle Dulce,1,2900,2900,0.0,1190
156,1109,101,Salsa Picante Habanero Lucho,1,2200,2200,550.0,760
157,1109,103,Salsa de Ajo Lucho,1,2400,2400,600.0,820
158,1110,101,salsa picante habanero lucho ,2,2200,4400,0.0,760
159,1110,107,Salsa Verde Jalapeno,2,2375,4750,0.0,980
160,1110,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
161,1111,103,SALSA DE AJO LUCHO,1,2400,2400,0.0,820
162,1112,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
163,1112,107,Salsa Verde Jalapeno,1,2500,2500,0.0,980
164,1113,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
165,1113,105,Salsa BBQ Tamarindo,2,3000,6000,0.0,1280
166,1114,102,Chilero Criollo Lucho,3,2000,6000,0.0,690
167,1115,102,Chilero Criollo  Lucho,12,2000,24000,0.0,690
168,1116,103,Salsa de Ajo Lucho,2,2400,4800,0.0,820
169,1117,103,Salsa de Ajo Lucho,1,2520,2520,0.0,820
170,1117,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
171,1118,109,Salsa Inferno Carolina Reaper,1,4500,4500,0.0,2100
172,1118,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
173,1119,102,Chilero Criollo Lucho,6,2000,12000,0.0,690
174,1119,109,Salsa Inferno Carolina Reaper,12,4500,54000,0.0,2100
175,1119,101,salsa picante habanero lucho ,12,2200,26400,0.0,760
176,1120,101,salsa picante habanero lucho ,1,2200,2200,0.0,760
177,1121,106,Salsa Chipotle Dulce,1,2900,2900,435.0,1190
178,1122,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
179,1123,103,Salsa de Ajo Lucho,24,2400,57600,6912.0,820
180,1123,102,Chilero Criollo Lucho,24,2000,48000,5760.0,690
181,1124,102,chilero criollo lucho,1,2000,2000,0.0,690
182,1125,104,Salsa Mango-Habanero,1,3200,3200,0.0,1350
183,1125,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
184,1126,103,SALSA DE AJO LUCHO,2,2400,4800,0.0,820
185,1126,102,Chilero Criollo  Lucho,1,2000,2000,0.0,690
186,1127,101,salsa picante habanero lucho ,2,2200,4400,0.0,760
187,1128,103,Salsa de Ajo Lucho,1,2400,2400,360.0,820
188,1129,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
189,1130,102,Chilero Criollo Lucho,2,2000,4000,0.0,
190,1131,102,Chilero Criollo  Lucho,1,2000,2000,500.0,690
191,1132,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,0.0,760
192,1133,103,Salsa de Ajo Lucho,2,2520,5040,0.0,820
193,1134,103,Salsa de Ajo Lucho,6,2400,14400,0.0,820
194,1135,103,salsa de ajo lucho,1,2400,2400,0.0,820
195,1136,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
196,1136,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
197,1137,101,Salsa Picante Habanero Lucho,3,2200,6600,0.0,760
198,1138,103,Salsa de Ajo Lucho,1,2400,2400,360.0,820
199,1139,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
200,1140,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
201,1140,110,Salsa Curry Tropical,1,3400,3400,0.0,1520
202,1141,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
203,1142,102,Chilero Criollo Lucho,2,2000,4000,600.0,690
204,1143,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
205,1144,107,Salsa Verde Jalapeno,1,2500,2500,0.0,980
206,1145,101,Salsa Picante Habanero Lucho,24,2200,52800,0.0,760
207,1146,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
208,1147,102,Chilero Criollo Lucho,12,2100,25200,3024.0,690
209,1147,103,Salsa de Ajo Lucho,6,2280,13680,1641.6,820
210,1148,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
211,1149,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
212,1150,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
213,1150,102,Chilero Criollo  Lucho,2,2000,4000,0.0,690
214,1150,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
215,1151,103,Salsa de Ajo Lucho,12,2400,28800,0.0,820
216,1151,104,Salsa Mango-Habanero,12,3200,38400,0.0,1350
217,1152,103,Salsa de Ajo Lucho,24,2400,57600,6912.0,820
218,1152,101,salsa picante habanero lucho ,-2,2200,13200,1584.0,760
219,1153,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
220,1154,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
221,1155,101,Salsa Picante Habanero Lucho,12,2200,26400,3168.0,760
222,1156,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
223,1156,101,Salsa Picante Habanero Lucho,2,2310,4620,0.0,760
224,1157,103,Salsa de Ajo Lucho,1,2400,2400,360.0,820
225,1157,102,Chilero Criollo  Lucho,1,2000,2000,300.0,690
226,1158,110,Salsa Curry Tropical,2,3400,6800,1020.0,1520
227,1158,101,Salsa Picante Habanero Lucho,2,2200,4400,660.0,760
228,1158,102,Chilero Criollo Lucho,1,2000,2000,300.0,690
229,1159,102,Chilero Criollo Lucho,12,2000,24000,0.0,690
230,1160,109,Salsa Inferno Carolina Reaper,2,4500,9000,0.0,2100
231,1161,105,Salsa BBQ Tamarindo,2,3150,6300,0.0,
232,1161,107,Salsa Verde Jalapeno,1,2500,2500,0.0,980
233,1162,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
234,1163,101,salsa picante habanero lucho ,12,2200,26400,3168.0,760
235,1164,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
236,1165,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
237,1166,101,Salsa Picante Habanero Lucho,24,2200,52800,0.0,760
238,1167,101,salsa picante habanero lucho ,3,2310,6930,0.0,760
239,1167,103,Salsa de Ajo Lucho,1,2280,2280,0.0,820
240,1168,103,SALSA DE AJO LUCHO,1,2400,2400,0.0,820
241,1169,101,Salsa Picante Habanero Lucho,24,2200,52800,6336.0,760
242,1170,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
243,1171,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
244,1172,101,Salsa Picante Habanero Lucho,36,2200,79200,9504.0,760
245,1173,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
246,1174,103,salsa de ajo lucho,2,2400,4800,0.0,820
247,1175,101,Salsa Picante Habanero Lucho,3,2310,6930,0.0,760
248,1175,103,salsa de ajo lucho,1,2520,2520,0.0,820
249,1176,103,Salsa de Ajo Lucho,1,2520,2520,0.0,820
250,1177,102,Chilero Criollo Lucho,2,2000,4000,0.0,
251,1178,103,SALSA DE AJO LUCHO,6,2400,14400,3600.0,820
252,1178,109,Salsa Inferno Carolina Reaper,6,4500,27000,6750.0,2100
253,1178,101,Salsa Picante Habanero Lucho,24,2200,52800,13200.0,760
254,1179,102,chilero criollo lucho,12,2000,24000,0.0,690
255,1180,108,Aderezo Cilantro-Limon,1,2600,2600,0.0,1010
256,1181,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
257,1182,103,SALSA DE AJO LUCHO,3,2400,7200,0.0,820
258,1183,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
259,1184,101,Salsa Picante Habanero Lucho,3,2200,6600,0.0,760
260,1184,103,Salsa de Ajo Lucho,2,2400,4800,0.0,820
261,1185,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,
262,1185,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
263,1186,110,Salsa Curry Tropical,1,3570,3570,0.0,1520
264,1187,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
265,1188,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
266,1188,110,Salsa Curry Tropical,1,3400,3400,0.0,1520
267,1188,102,Chilero Criollo  Lucho,2,2000,4000,0.0,690
268,1189,101,Salsa Picante Habanero Lucho,36,2200,79200,0.0,760
269,1189,102,Chilero Criollo  Lucho,6,2000,12000,0.0,690
270,1190,103,Salsa de Ajo Lucho,1,2280,2280,0.0,820
271,1190,109,Salsa Inferno Carolina Reaper,1,4500,4500,0.0,2100
272,1191,109,Salsa Inferno Carolina Reaper,1,4500,4500,0.0,2100
273,1191,103,salsa de ajo lucho,3,2400,7200,0.0,820
274,1192,108,Aderezo Cilantro-Limon,1,2600,2600,390.0,1010
275,1192,101,Salsa Picante Habanero Lucho,1,2200,2200,330.0,760
276,1192,102,Chilero Criollo Lucho,3,2000,6000,900.0,690
277,1193,101,Salsa Picante Habanero Lucho,1,2310,2310,0.0,760
278,1194,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
279,1195,101,SALSA PICANTE HABANERO LUCHO,6,2200,13200,1584.0,760
280,1195,102,Chilero Criollo Lucho,24,2000,48000,5760.0,690
281,1196,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
282,1197,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
283,1198,103,SALSA DE AJO LUCHO,3,2400,7200,0.0,820
284,1199,102,chilero criollo lucho,1,2000,2000,0.0,690
285,1200,102,chilero criollo lucho,2,2000,4000,0.0,690
286,1201,105,Salsa BBQ Tamarindo,2,3000,6000,0.0,1280
287,1202,102,Chilero Criollo Lucho,3,2000,6000,0.0,690
288,1203,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
289,1204,102,Chilero Criollo Lucho,24,2000,48000,5760.0,690
290,1205,102,Chilero Criollo Lucho,1,2100,2100,0.0,690
291,1206,101,Salsa Picante Habanero Lucho,12,2200,26400,3168.0,760
292,1206,103,Salsa de Ajo Lucho,12,2400,28800,3456.0,820
293,1207,102,chilero criollo lucho,1,2000,2000,0.0,690
294,1208,102,Chilero Criollo Lucho,24,2000,48000,0.0,690
295,1208,104,Salsa Mango-Habanero,6,3040,18240,0.0,1350
296,1209,103,Salsa de Ajo Lucho,1,2520,2520,0.0,820
297,1210,103,salsa de ajo lucho,1,2400,2400,0.0,820
298,1210,101,salsa picante habanero lucho ,1,2200,2200,0.0,760
299,1211,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
300,1211,109,Salsa Inferno Carolina Reaper,1,4500,4500,0.0,2100
301,1212,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
302,1213,102,Chilero Criollo  Lucho,6,2000,12000,1440.0,690
303,1214,101,Salsa Picante Habanero Lucho,1,2310,2310,0.0,760
304,1215,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
305,1216,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
306,1217,101,SALSA PICANTE HABANERO LUCHO,2,2200,4400,0.0,760
307,1218,104,Salsa Mango-Habanero,1,3200,3200,0.0,1350
308,1219,110,Salsa Curry Tropical,1,3400,3400,0.0,1520
309,1219,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
310,1219,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
311,1220,102,Chilero Criollo Lucho,6,2000,12000,0.0,690
312,1221,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,550.0,760
313,1222,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
314,1223,101,SALSA PICANTE HABANERO LUCHO,2,2200,4400,1100.0,760
315,1223,103,Salsa de Ajo Lucho,1,2400,2400,600.0,820
316,1224,102,Chilero Criollo  Lucho,1,2000,2000,500.0,690
317,1225,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
318,1225,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
319,1226,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
320,1227,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,0.0,760
321,1228,103,Salsa de Ajo Lucho,1,2400,2400,360.0,820
322,1228,105,Salsa BBQ Tamarindo,1,3000,3000,450.0,1280
323,1229,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
324,1230,103,salsa de ajo lucho,36,2400,86400,0.0,820
325,1231,102,Chilero Criollo  Lucho,2,2000,4000,0.0,690
326,1232,103,Salsa de Ajo Lucho,12,2400,28800,0.0,820
327,1233,107,Salsa Verde Jalapeno,12,2500,30000,3600.0,980
328,1234,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,0.0,760
329,1235,101,Salsa Picante Habanero Lucho,1,2090,2090,0.0,760
330,1235,109,Salsa Inferno Carolina Reaper,1,4500,4500,0.0,2100
331,1236,103,Salsa de Ajo Lucho,12,2400,28800,3456.0,820
332,1236,102,chilero criollo lucho,12,1900,22800,2736.0,690
333,1237,102,Chilero Criollo Lucho,2,2000,4000,0.0,690
334,1237,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
335,1238,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
336,1238,107,Salsa Verde Jalapeno,2,2500,5000,0.0,980
337,1238,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
338,1239,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
339,1239,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
340,1239,103,SALSA DE AJO LUCHO,1,2400,2400,0.0,820
341,1240,108,Aderezo Cilantro-Limon,24,2600,62400,0.0,1010
342,1240,102,Chilero Criollo Lucho,24,2000,48000,0.0,
343,1241,103,salsa de ajo lucho,1,2520,2520,0.0,
344,1241,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
345,1241,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
346,1242,101,Salsa Picante Habanero Lucho,24,2200,52800,6336.0,760
347,1242,102,Chilero Criollo Lucho,6,2000,12000,1440.0,690
348,1242,103,SALSA DE AJO LUCHO,6,2400,14400,1728.0,820
349,1243,102,chilero criollo lucho,6,2000,12000,0.0,690
350,1244,101,salsa picante habanero lucho ,2,2200,4400,0.0,760
351,1245,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
352,1246,102,Chilero Criollo Lucho,6,2000,12000,0.0,690
353,1247,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
354,1247,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
355,1248,103,salsa de ajo lucho,2,2400,4800,0.0,820
356,1248,104,Salsa Mango-Habanero,2,3200,6400,0.0,1350
357,1249,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
358,1250,103,Salsa de Ajo Lucho,1,2400,2400,600.0,820
359,1251,101,Salsa Picante Habanero Lucho,3,2200,6600,0.0,
360,1252,105,Salsa BBQ Tamarindo,3,3000,9000,0.0,1280
361,1253,102,Chilero Criollo Lucho,1,1900,1900,0.0,690
362,1254,101,Salsa Picante Habanero Lucho,1,2200,2200,330.0,760
363,1254,103,Salsa de Ajo Lucho,3,2400,7200,1080.0,820
364,1255,102,Chilero Criollo Lucho,12,2000,24000,2880.0,690
365,1255,101,Salsa Picante Habanero Lucho,12,2200,26400,3168.0,760
366,1256,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
367,1256,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
368,1257,105,Salsa BBQ Tamarindo,6,2850,17100,0.0,1280
369,1258,102,Chilero Criollo Lucho,36,2000,72000,0.0,690
370,1258,101,SALSA PICANTE HABANERO LUCHO,24,2200,52800,0.0,760
371,1259,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
372,1259,104,Salsa Mango-Habanero,1,3200,3200,0.0,1350
373,1260,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
374,1261,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
375,1261,102,chilero criollo lucho,1,2000,2000,0.0,690
376,1262,101,salsa picante habanero lucho ,2,2200,4400,0.0,760
377,1263,102,chilero criollo lucho,1,2000,2000,0.0,
378,1263,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,
379,1264,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
380,1264,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
381,1265,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
382,1266,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
383,1267,103,Salsa de Ajo Lucho,12,2400,28800,0.0,820
384,1267,102,Chilero Criollo Lucho,6,2000,12000,0.0,690
385,1268,101,Salsa Picante Habanero Lucho,24,2200,52800,6336.0,760
386,1269,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
387,1270,110,Salsa Curry Tropical,1,3400,3400,0.0,1520
388,1270,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
389,1271,102,chilero criollo lucho,1,2000,2000,0.0,690
390,1271,103,SALSA DE AJO LUCHO,1,2400,2400,0.0,820
391,1272,101,Salsa Picante Habanero Lucho,1,2090,2090,0.0,760
